"F","T","x","side"
"[0.6194766267613712, 0.2256263845683622, -1.955395894883678, 0.681049632944438, -0.021208133610451957, 8.598470238572357, 1.0317716461369728, -0.03314298943448252]","102.7752251625061","0","L"
"[-5.565152718575621, -2.5993588476258127, 5.202747719319473, 5.258947685226627, 0.6164999132609474, -5.561356555236991, -5.565152718575621, -5.565152718575621]","102.7752833366394","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, 9.599566121251225, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076]","102.77532124519348","0","R"
"[-0.20571890640846868, 0.2549210306818918, 0.6314114825854017, 0.6205616136544648, 8.87622688320434, 0.7724597786875812, -0.04399285836541941, -1.8646658662932856, 0.46215352726278636]","103.07580256462097","0","L"
"[-1.8721459924082244, 5.258947685226627, 5.258947685226627, -4.544149831064044, -5.565152718575621, -5.565152718575621, -5.565152718575621, 2.136047814979971]","103.07586669921875","0","M"
"[-10.996983742837076, -10.333896772633954, 10.302247200222016, 10.616126817930434, 0.9842142168949207, -10.996983742837076, -10.996983742837076, -10.996983742837076]","103.0759048461914","0","R"
"[1.4994009970603526, 2.370102978768038, 6.653359985978647, 1.2376479091015002, -0.02473434101300645, -3.203612904982046, 1.2132357040068924, 0.5934369413271227]","103.37778210639954","0","L"
"[5.258947685226627, 5.258947685226627, -5.504084003997657, -5.565152718575621, -5.565152718575621, -5.453413475955941, 4.216768905683666, 5.258947685226627, 5.258947685226627]","103.37784934043884","0","M"
"[-1.3818931088032531, 10.616126817930434, 10.616126817930434, -8.499531923652556, -10.996983742837076, -10.996983742837076, -10.996983742837076, 7.459507823436939]","103.37789607048035","0","R"
"[5.745768449905777, 2.6020189271668137, 0.7683910778384799, 0.6986806699572105, -1.643817024245413, 0.4862944856341209, 0.8250816430026251, 8.521436169162705]","103.69782781600952","0","L"
"[-5.502763599358134, -5.565152718575621, -5.565152718575621, -5.315926342865553, 5.022411946364458, 5.258947685226627, -0.7595400330297031, -5.558550695378003]","103.69789004325867","0","M"
"[10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, 8.718986920361571, 10.616126817930434, 10.616126817930434]","103.69792819023132","0","R"
"[1.973269022619021, 0.3821357438971268, 0.2058253737694024, 0.08566307535927636, 0.6032018233649659, 0.35067112399740985, 8.87622688320434, 1.3314992753541044, 0.6156791726355433]","103.99678468704224","0","L"
"[-5.565152718575621, -5.565152718575621, 0.026069683201081092, 5.258947685226627, 5.258947685226627, -5.3410140310165, -5.565152718575621, -5.565152718575621]","103.99683880805969","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -10.953810585234386, 9.983086747725654, 10.616126817930434, 3.3500282018938092, -10.996983742837076]","103.99686479568481","0","R"
"[-2.7733243861581474, 1.0239054911620435, 0.28774188419797586, 2.3926164567997317, 6.87713853267922, 1.21703315813272, 0.2888268710910696, -3.2837487086771535]","104.29710745811462","0","L"
"[-5.565152718575621, 3.7582433014882377, 5.258947685226627, 5.258947685226627, -5.493520766881469, -5.565152718575621, -5.565152718575621, -5.41561689314958, 4.4842146257947695]","104.29715895652771","0","M"
"[-10.996983742837076, -10.996983742837076, -5.575621585858279, 10.616126817930434, 10.616126817930434, -6.1655448843988285, -10.996983742837076, -10.996983742837076]","104.29718732833862","0","R"
"[0.6482287794283539, -0.04670532559815363, 5.740343515440308, 3.8654861641744143, 0.5370176228862509, -0.09498724234082277, -2.4614738687276954, 0.8142317740716882]","104.62380266189575","0","L"
"[5.258947685226627, 5.258947685226627, -5.539734929264792, -5.565152718575621, -5.565152718575621, -4.8387651162577345, 4.925880240218052, 5.258947685226627]","104.62386226654053","0","M"
